"Phi_u","convex","mu","Points:0","Points:1","Points:2"
6.9218e+06,0,-87.311,4556.1,-2237.6,-132.55
6.6751e+06,0,-87.793,4397.3,-2237.6,-132.55
2.6814e+06,0,-100.46,1831.6,-2237.6,-114.87
2.5395e+06,0,-93.051,1732.5,-2237.6,-104.47
3.5398e+06,0,-107.96,2393.3,-2237.6,-132.55
3.4954e+06,0.20732,-108.26,2364.9,-2237.6,-132.55
3.7485e+06,0,-106.41,2526.5,-2237.6,-132.55
3.3331e+06,0.35704,-109.35,2261.2,-2237.6,-132.55
3.2458e+06,0,-110.27,2205.8,-2237.6,-132.55
7.162e+06,0.58807,-86.976,4710.8,-2237.6,-132.55
6.988e+06,0.21298,-87.231,4598.8,-2237.6,-132.55
6.9466e+06,0,-87.281,4572.1,-2237.6,-132.55
4.4929e+06,0,-99.937,3000.6,-2237.6,-132.55
4.3909e+06,0,-100.75,2935.6,-2237.6,-132.55
3.7535e+06,0,-106.38,2529.7,-2237.6,-132.55
3.7828e+06,0,-106.14,2548.3,-2237.6,-132.55
3.1131e+06,0,-111.46,2121.3,-2237.6,-132.55
2.9776e+06,0,-112.59,2034.9,-2237.6,-132.55
6.566e+06,0,-87.988,4327,-2237.6,-132.55
6.4539e+06,0,-88.206,4254.9,-2237.6,-132.55
1.8218e+06,0,-55.357,1231.5,-2237.6,-51.866
1.817e+06,0,-55.095,1228.1,-2237.6,-51.509
1.2369e+07,0,-59.892,8045.4,-2237.6,-132.55
1.2219e+07,0,-60.988,7949.8,-2237.6,-132.55
6.1995e+06,0,-88.694,4091.1,-2237.6,-132.55
6.0326e+06,0.71404,-89.269,3984,-2237.6,-132.55
3.9979e+06,0,-104.32,2685.4,-2237.6,-132.55
3.9657e+06,0,-104.63,2664.9,-2237.6,-132.55
5.4213e+06,0,-91.902,3591.9,-2237.6,-132.55
5.2285e+06,0,-93.352,3468.9,-2237.6,-132.55
5.6206e+06,0.5857,-90.674,3719.4,-2237.6,-132.55
5.4743e+06,0,-91.571,3625.8,-2237.6,-132.55
2.7391e+06,0,-103.49,1871.9,-2237.6,-119.1
2.7246e+06,0.064605,-102.71,1861.7,-2237.6,-118.04
5.8267e+06,0,-89.859,3851.6,-2237.6,-132.55
5.7222e+06,0.49383,-90.359,3784.6,-2237.6,-132.55
5.1875e+06,0.17101,-93.771,3442.8,-2237.6,-132.55
5.0191e+06,0.87149,-95.632,3336,-2237.6,-132.55
4.8132e+06,0,-97.462,3204.9,-2237.6,-132.55
4.7381e+06,0,-97.922,3156.9,-2237.6,-132.55
1.32e+06,0.20993,-18.505,870.72,-2237.6,-13.98
1.1425e+06,0.022485,0,737.58,-2237.6,0
