"C_p_ise","N_discontinuous_edges","centroid:0","centroid:1","centroid:2","dC_f:0","dC_f:1","dC_f:2","distribution_order","inclination","normals:0","normals:1","normals:2","sigma","v:0","v:1","v:2","v_inner:0","v_inner:1","v_inner:2","Cell Type"
-0.0064847,0,4477.7,-2265.4,-129.63,-2.8462e-06,-7.1873,-68.45,1,1,-4.1354e-08,-0.10443,-0.99453,4.1354e-08,1553.6,-31.817,3.3407,1548.9,0,0,3
0.16489,0,1782.8,-2202.5,-113.43,170.11,170.11,1620.1,1,1,-0.10386,-0.10386,-0.98915,0.10386,1414.6,-87.16,-175.49,1548.9,0,0,3
-0.0222,0,2374.9,-2175.9,-139.03,1.5698e-05,-22.122,-210.69,1,1,7.4102e-08,-0.10443,-0.99453,-7.4102e-08,1565.3,-53.592,5.6273,1548.9,0,0,3
-0.024177,0,2451.3,-2209.2,-135.53,1.7729e-05,-24.01,-228.67,1,1,7.7108e-08,-0.10443,-0.99453,-7.7108e-08,1566.9,-54.263,5.6977,1548.9,0,0,3
-0.021993,0,2307.2,-2231.6,-133.18,-1.9675e-06,-22.845,-217.57,1,1,-8.9938e-09,-0.10443,-0.99453,8.9938e-09,1565.2,-53.704,5.6389,1548.9,0,0,3
-0.034196,0,2228.7,-2192.2,-137.32,-2.2707e-05,-40.927,-389.78,1,1,-5.7938e-08,-0.10443,-0.99453,5.7938e-08,1574.7,-57.403,6.0272,1548.9,0,0,3
-0.0048895,0,4663.4,-2223.8,-134,3.6079e-06,-5.2542,-50.039,1,1,7.1707e-08,-0.10443,-0.99453,-7.1707e-08,1552.4,-29.291,3.0757,1548.9,0,0,3
-0.0041275,0,4545.8,-2302.7,-125.72,-1.2804e-06,-3.2021,-30.497,1,1,-4.1757e-08,-0.10443,-0.99453,4.1757e-08,1551.8,-30.442,3.1964,1548.9,0,0,3
-0.026123,0,2969.3,-2264.7,-129.7,2.1834e-06,-24.031,-228.86,1,1,9.4881e-09,-0.10443,-0.99453,-9.4881e-09,1568.2,-60.224,6.3235,1548.9,0,0,3
-0.023109,0,2519.8,-2156.6,-141.05,2.5039e-05,-22.295,-212.33,1,1,1.1728e-07,-0.10443,-0.99453,-1.1728e-07,1566,-54.892,5.7639,1548.9,0,0,3
-0.027112,0,2596.1,-2188.8,-137.68,-6.0724e-06,-25.919,-246.85,1,1,-2.4465e-08,-0.10443,-0.99453,2.4465e-08,1569.1,-56.246,5.9058,1548.9,0,0,3
-0.02931,0,2162.1,-2251.2,-131.12,8.6124e-06,-35.49,-338,1,1,2.5341e-08,-0.10443,-0.99453,-2.5341e-08,1570.7,-59.903,6.2899,1548.9,0,0,3
-0.027285,0,2084.3,-2221.5,-134.24,-1.1827e-05,-30.744,-292.8,1,1,-4.017e-08,-0.10443,-0.99453,4.017e-08,1569.2,-59.471,6.2444,1548.9,0,0,3
-0.0065424,0,4316.6,-2198.6,-136.65,3.9249e-07,-5.8548,-55.76,1,1,7.0004e-09,-0.10443,-0.99453,-7.0004e-09,1553.6,-35.159,3.6917,1548.9,0,0,3
0.16882,0,1266.6,-2167.8,-62.875,176.82,176.82,1684,1,1,-0.10386,-0.10386,-0.98915,0.10386,1411.1,-99.23,-174.79,1548.9,0,0,3
-0.0041274,0,4625,-2286.5,-127.41,1.5037e-05,-3.2493,-30.946,1,1,4.8326e-07,-0.10443,-0.99453,-4.8326e-07,1551.8,-30.442,3.1972,1548.9,0,0,3
-0.022756,0,7993,-2224.7,-133.91,1.8567e-05,-15.328,-145.98,1,1,1.265e-07,-0.10443,-0.99453,-1.265e-07,1566.7,4.9094,-0.51529,1548.9,0,0,3
-0.01138,0,4034.7,-2228.9,-133.46,-1.2995e-05,-9.849,-93.8,1,1,-1.3778e-07,-0.10443,-0.99453,1.3778e-07,1557.2,-40.707,4.274,1548.9,0,0,3
-0.031195,0,2682.8,-2300.5,-125.95,7.1164e-05,-28.29,-269.43,1,1,2.6268e-07,-0.10443,-0.99453,-2.6268e-07,1572.4,-56.265,5.9083,1548.9,0,0,3
